"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Nov 30 17:39:11 GMT 2021","Tue Nov 30 17:39:11 GMT 2021","1","","Nethereum","","NeonEndToEnd.Tests.org.neonlabs.e2e.nethereum.ConnectionTest","Subprojects are filled in","Subprojects are filled in",""
"passed","Tue Nov 30 17:39:11 GMT 2021","Tue Nov 30 17:39:11 GMT 2021","676","","Nethereum","","NeonEndToEnd.Tests.org.neonlabs.e2e.nethereum.BlockNumberTest","Latest block number test","Latest block number test",""
"broken","Tue Nov 30 17:40:50 GMT 2021","Tue Nov 30 17:40:50 GMT 2021","1","","","","","","simple contract deployment -- @1.2 ",""
"failed","Tue Nov 30 17:39:38 GMT 2021","Tue Nov 30 17:39:40 GMT 2021","1096","","","","","","the first funding request",""
"failed","Tue Nov 30 17:39:57 GMT 2021","Tue Nov 30 17:40:01 GMT 2021","4070","","","","","","a user to user failed transaction",""
"failed","Tue Nov 30 17:39:37 GMT 2021","Tue Nov 30 17:39:38 GMT 2021","1103","","","","","","simple contract deployment",""
"broken","Tue Nov 30 17:40:50 GMT 2021","Tue Nov 30 17:40:50 GMT 2021","1","","","","","","a user to user failed transaction -- @1.2 ",""
"failed","Tue Nov 30 17:39:41 GMT 2021","Tue Nov 30 17:39:43 GMT 2021","1282","","","","","","the second funding request",""
"passed","Tue Nov 30 17:40:51 GMT 2021","Tue Nov 30 17:40:51 GMT 2021","482","","org.neonlabs.e2e.kethereum.ConnectionKtTest","","org.neonlabs.e2e.kethereum.ConnectionKtTest","shouldConnectToNetwork","shouldConnectToNetwork()","Connection"
"broken","Tue Nov 30 17:40:50 GMT 2021","Tue Nov 30 17:40:50 GMT 2021","1","","","","","","simple contract deployment -- @1.1 ",""
"passed","Tue Nov 30 17:39:11 GMT 2021","Tue Nov 30 17:39:11 GMT 2021","1","","Nethereum","","NeonEndToEnd.Tests.org.neonlabs.e2e.nethereum.ConnectionTest","Connection test","Connection test",""
"broken","Tue Nov 30 17:40:50 GMT 2021","Tue Nov 30 17:40:50 GMT 2021","1","","","","","","the first funding request -- @1.1 ",""
"passed","Tue Nov 30 17:39:26 GMT 2021","Tue Nov 30 17:39:26 GMT 2021","0","","","","home.runner.work.neon-e2e.neon-e2e.src.main.java.org.neonlabs.e2e.go-eth.frog_jmp_test","TestFrogJmp/Run,_data_=_{12_1575743711_10_157574370}","Frog Jmp / Run ,_ data _=_{ 12 _ 1575743711 _ 10 _ 157574370 }","TestFrogJmp/Run,_data_=_{12_1575743711_10_157574370}"
"passed","Tue Nov 30 17:40:52 GMT 2021","Tue Nov 30 17:40:52 GMT 2021","7","","org.neonlabs.e2e.web3j.ConnectionTest","","org.neonlabs.e2e.web3j.ConnectionTest","probe","probe()","allure description"
"passed","Tue Nov 30 17:39:26 GMT 2021","Tue Nov 30 17:39:26 GMT 2021","0","","","","home.runner.work.neon-e2e.neon-e2e.src.main.java.org.neonlabs.e2e.go-eth.wallet_test","TestNewWalletBalance","New Wallet Balance","Creating a new wallet"
"passed","Tue Nov 30 17:40:51 GMT 2021","Tue Nov 30 17:40:51 GMT 2021","3","","org.neonlabs.e2e.kethereum.ConnectionKtTest","","org.neonlabs.e2e.kethereum.ConnectionKtTest","shouldWork","shouldWork()","allure description"
"broken","Tue Nov 30 17:40:50 GMT 2021","Tue Nov 30 17:40:50 GMT 2021","1","","","","","","the second funding request -- @1.1 ",""
"broken","Tue Nov 30 17:40:50 GMT 2021","Tue Nov 30 17:40:50 GMT 2021","19","","","","","","the second funding request -- @1.2 ",""
"failed","Tue Nov 30 17:39:52 GMT 2021","Tue Nov 30 17:39:57 GMT 2021","4613","","","","","","a user to user successful transaction",""
"failed","Tue Nov 30 17:39:11 GMT 2021","Tue Nov 30 17:39:11 GMT 2021","687","","Nethereum","","NeonEndToEnd.Tests.org.neonlabs.e2e.nethereum.CallStateFromPreviousBlock","Should Transfer And GetState From Previous Block test","Should Transfer And GetState From Previous Block test",""
"failed","Tue Nov 30 17:39:43 GMT 2021","Tue Nov 30 17:39:47 GMT 2021","4829","","","","","","a user to user successful transaction",""
"broken","Tue Nov 30 17:40:50 GMT 2021","Tue Nov 30 17:40:50 GMT 2021","1","","","","","","a user to user failed transaction -- @1.1 ",""
"passed","Tue Nov 30 17:39:31 GMT 2021","Tue Nov 30 17:39:36 GMT 2021","4671","","","","","","neon-swap/first.test",""
"failed","Tue Nov 30 17:39:47 GMT 2021","Tue Nov 30 17:39:52 GMT 2021","4546","","","","","","a user to user successful transaction",""
"passed","Tue Nov 30 17:39:26 GMT 2021","Tue Nov 30 17:39:26 GMT 2021","0","","","","home.runner.work.neon-e2e.neon-e2e.src.main.java.org.neonlabs.e2e.go-eth.frog_jmp_test","TestFrogJmp/Run,_data_=_{12_125_36_3}","Frog Jmp / Run ,_ data _=_{ 12 _ 125 _ 36 _ 3 }","TestFrogJmp/Run,_data_=_{12_125_36_3}"
"broken","Tue Nov 30 17:40:50 GMT 2021","Tue Nov 30 17:40:50 GMT 2021","2","","","","","","a user to user successful transaction -- @1.2 ",""
"passed","Tue Nov 30 17:39:26 GMT 2021","Tue Nov 30 17:39:26 GMT 2021","0","","","","home.runner.work.neon-e2e.neon-e2e.src.main.java.org.neonlabs.e2e.go-eth.frog_jmp_test","TestFrogJmp/Run,_data_=_{12_20513255711_7346545000_3}","Frog Jmp / Run ,_ data _=_{ 12 _ 20513255711 _ 7346545000 _ 3 }","TestFrogJmp/Run,_data_=_{12_20513255711_7346545000_3}"
"passed","Tue Nov 30 17:39:26 GMT 2021","Tue Nov 30 17:39:26 GMT 2021","0","","","","home.runner.work.neon-e2e.neon-e2e.src.main.java.org.neonlabs.e2e.go-eth.connection_test","TestConnection","Connection","Connection to network"
"passed","Tue Nov 30 17:39:26 GMT 2021","Tue Nov 30 17:39:26 GMT 2021","0","","","","home.runner.work.neon-e2e.neon-e2e.src.main.java.org.neonlabs.e2e.go-eth.frog_jmp_test","TestFrogJmp/Run,_data_=_{144_144_2_0}","Frog Jmp / Run ,_ data _=_{ 144 _ 144 _ 2 _ 0 }","TestFrogJmp/Run,_data_=_{144_144_2_0}"
"passed","Tue Nov 30 17:39:40 GMT 2021","Tue Nov 30 17:39:40 GMT 2021","766","","","","","","the first funding request",""
"broken","Tue Nov 30 17:40:50 GMT 2021","Tue Nov 30 17:40:50 GMT 2021","1","","","","","","the first funding request -- @1.2 ",""
"broken","Tue Nov 30 17:40:50 GMT 2021","Tue Nov 30 17:40:50 GMT 2021","1","","","","","","simple contract deployment -- @1.3 ",""
"passed","Tue Nov 30 17:39:11 GMT 2021","Tue Nov 30 17:39:11 GMT 2021","44","","Nethereum","","NeonEndToEnd.Tests.org.neonlabs.e2e.nethereum.ConnectionTest","Initial balance","Initial balance",""
"failed","Tue Nov 30 17:39:35 GMT 2021","Tue Nov 30 17:39:37 GMT 2021","1713","","","","","","simple contract deployment",""
"broken","Tue Nov 30 17:40:50 GMT 2021","Tue Nov 30 17:40:50 GMT 2021","1","","","","","","a user to user successful transaction -- @1.3 ",""
"passed","Tue Nov 30 17:39:26 GMT 2021","Tue Nov 30 17:39:26 GMT 2021","0","","","","home.runner.work.neon-e2e.neon-e2e.src.main.java.org.neonlabs.e2e.go-eth.frog_jmp_test","TestFrogJmp/Run,_data_=_{12_20513255711_1_20513255677}","Frog Jmp / Run ,_ data _=_{ 12 _ 20513255711 _ 1 _ 20513255677 }","TestFrogJmp/Run,_data_=_{12_20513255711_1_20513255677}"
